team_name,week,player_name,player_position,player_team,lineup_position,player_status,player_injury,player_key,date,injury_value
Eli Man Penguin Boy,13,Drew Brees,QB,NO,BN,Injured Reserve,Ribs,399.p.5479,2020-12-12,5.0
Quaranteam,9,Ben Roethlisberger,QB,Pit,BN,Out,COVID-19,399.p.6770,2020-11-11,4.0
Quaranteam,12,Ben Roethlisberger,QB,Pit,BN,Questionable,COVID-19,399.p.6770,2020-12-06,2.0
Birds Like I'm Julio,7,Frank Gore,RB,NYJ,BN,Questionable,,399.p.7241,2020-10-28,2.0
3HeadedATK,14,Robbie Gould,K,SF,BN,Out,COVID-19,399.p.7520,2020-12-30,4.0
3HeadedATK,15,Robbie Gould,K,SF,BN,Out,COVID-19,399.p.7520,2020-12-30,4.0
3HeadedATK,16,Robbie Gould,K,SF,BN,Out,COVID-19,399.p.7520,2020-12-30,4.0
DJeango,3,DeSean Jackson,WR,Phi,BN,Questionable,,399.p.8826,2020-09-29,2.0
DJeango,4,DeSean Jackson,WR,Phi,BN,Out,,399.p.8826,2020-10-03,4.0
Obi 'Quon Kenobi,4,LeSean McCoy,RB,TB,BN,Doubtful,,399.p.9317,2020-10-06,3.0
Obi 'Quon Kenobi,5,LeSean McCoy,RB,TB,BN,Out,ankle,399.p.9317,2020-10-13,4.0
Birds Like I'm Julio,3,Jared Cook,TE,NO,TE,Questionable,,399.p.9353,2020-09-29,2.0
Birds Like I'm Julio,4,Jared Cook,TE,NO,BN,Out,,399.p.9353,2020-10-05,4.0
Birds Like I'm Julio,5,Jared Cook,TE,NO,BN,Questionable,groin,399.p.9353,2020-10-11,2.0
Big Bucs No Whammies,2,Julian Edelman,WR,NE,BN,Questionable,,399.p.9496,2020-09-25,2.0
Big Bucs No Whammies,3,Julian Edelman,WR,NE,BN,Questionable,,399.p.9496,2020-09-26,2.0
Big Bucs No Whammies,4,Julian Edelman,WR,NE,BN,Questionable,,399.p.9496,2020-10-05,2.0
Big Bucs No Whammies,5,Julian Edelman,WR,NE,BN,Questionable,knee,399.p.9496,2020-10-13,2.0
Big Bucs No Whammies,7,Julian Edelman,WR,NE,BN,Questionable,knee,399.p.9496,2020-10-28,2.0
Big Bucs No Whammies,8,Julian Edelman,WR,NE,BN,Injured Reserve,,399.p.9496,2020-11-03,5.0
